primerid	Pr(>Chisq)	coef	FDR	gene_name	signif	diff_exp	prop_exp_X	prop_exp_Y	prop_exp_raw_X	prop_exp_raw_Y
PRICKLE3	4.012337493519536e-83	0.0225169134685545	9.433406681013782e-79	PRICKLE3		No-significant				
DDX3Y	2.6538712622840555e-49	-0.1075647963614404	3.1197583623780214e-45	DDX3Y	DDX3Y	Y	-0.17431762233658982	0.6916097650642464	0.005747126436781609	0.03225806451612903
amplicon-chrY-LOC100270696	3.280483076315348e-44	-0.2019752098820753	2.570914586908338e-40	mc/ampl_LOC100270696	mc/ampl_LOC100270696	Y	-0.08282098821615713	0.7118725898766224	0.005747126436781609	0.01948051948051948
EMD	1.081314428988684e-42	0.0202909881448418	6.355695884988237e-39	EMD		No-significant				
DIAPH2	1.7024037159691552e-42	0.3516031453906008	8.00504275323016e-39	DIAPH2	DIAPH2	X	0.9782790606313696	-0.07473113976881951	0.4482758620689655	0.21428571428571427
UPF3B	6.732328007878137e-41	0.5571194384597724	2.6380627298870484e-37	UPF3B	UPF3B	X	0.6193833321132783	-0.04549965305994745	0.08045977011494253	0.032467532467532464
amplicon-chrX-LOC106995531	6.756270748670139e-32	0.3231117784590245	2.269238308171195e-28	mc/ampl_LOC106995531	mc/ampl_LOC106995531	X	2.165392927991843	0.28473433595355685	0.1896551724137931	0.05161290322580645
H2AFB3	2.4566247152889773e-30	0.144530192444512	7.219712960144892e-27	H2AFB3	H2AFB3	X	0.7151139802445046	0.07021544358935043	0.011494252873563218	0.0
PAK3	2.602469060221569e-27	0.4509254765477185	6.79851667498548e-24	PAK3	PAK3	X	0.24472860056400866	-0.0940944449459338	0.05747126436781609	0.032467532467532464
FHL1	3.030959349177379e-27	0.0036004869854309	7.126088525850935e-24	FHL1		No-significant				
amplicon-chrX-PABPC1L2B	5.19363672533756e-27	0.0140212063383105	1.1100690277219216e-23	mc/ampl_PABPC1L2B		No-significant				
XKR3	4.5994567512786875e-26	-0.3699563236853184	9.011485639942769e-23	XKR3	XKR3	Y	-0.005136522335903782	0.9664598979203026	0.0	0.012987012987012988
amplicon-chrY-CDY	1.7900779037635375e-25	-0.217791517628841	3.2374247381065025e-22	mc/ampl_CDY	mc/ampl_CDY	Y	-0.034297620580407966	0.48327353330972167	0.0	0.0064516129032258064
LOC106995415	2.773774215484007e-25	-0.1839943644166218	4.6581575414460355e-22	LOC106995415	LOC106995415	Y	-0.05998902315016201	0.710284811429111	0.0	0.012987012987012988
amplicon-chrX-LOC114674748	4.457738457332857e-23	0.6656729760552917	6.98705925802352e-20	mc/ampl_LOC114674748	mc/ampl_LOC114674748	X	1.4265116506053008	-0.10290361413726645	0.28160919540229884	0.07741935483870968
ZFY	1.252204478602739e-20	-0.0425817032512957	1.8400362185268125e-17	ZFY		No-significant				
FAM122C	5.574106356428329e-20	0.1671582016243404	7.708989090940379e-17	FAM122C	FAM122C	No-significant	0.5263699924503691	0.022352949309149578	0.09770114942528736	0.07792207792207792
PDK3	2.78016830790359e-19	0.1079198793766491	3.631363171506739e-16	PDK3	PDK3	X	0.34865041139059133	-0.07507454422643228	0.040229885057471264	0.01935483870967742
CFAP47	8.6377188151137485e-19	0.4413158637801032	1.0688495108533648e-15	CFAP47	CFAP47	X	0.7796654190780763	0.11783391558992698	0.07428571428571429	0.01935483870967742
LOC114672378	5.268661956445536e-18	-0.1189501826501337	6.1935755628995505e-15	LOC114672378	LOC114672378	Y	-0.15577043486334585	0.395249819824834	0.011494252873563218	0.07142857142857142
PPP1R2C	7.546190394915751e-18	0.2278920029496315	8.448499160707821e-15	PPP1R2C	PPP1R2C	X	0.7574115649468646	0.1759479139655035	0.04597701149425287	0.025974025974025976
LOC106995402	8.645817982456292e-18	-0.114009406142673	9.239628481160452e-15	LOC106995402	LOC106995402	No-significant	-0.054757959488480536	0.2745685815212618	0.005747126436781609	0.0
DDX3X	3.0685600672766935e-17	0.0892865046715834	3.1367354670322765e-14	DDX3X		No-significant				
RPGR	7.911635209237957e-16	0.1827993561136452	7.750435641849734e-13	RPGR	RPGR	X	0.6718127522708067	0.09694297617891863	0.05747126436781609	0.025806451612903226
MOSPD1	1.0319935037056674e-15	0.0630220773429869	9.70527970624958e-13	MOSPD1		No-significant				
EFHC2	1.1083003754018369e-15	0.1869169759023608	1.0022019279258685e-12	EFHC2	EFHC2	X	0.5436368800468773	0.048142593429480116	0.05747126436781609	0.01948051948051948
CDKL5	1.066840496999556e-14	0.1184257372528229	9.289809972206132e-12	CDKL5	CDKL5	X	0.5063868889431615	-0.046779826656362336	0.05747126436781609	0.006493506493506494
PPEF1	2.534346192974112e-14	0.2049899375437435	2.1280361908219408e-11	PPEF1	PPEF1	X	0.777848983753835	0.05881964737478406	0.07471264367816093	0.012903225806451613
LOC106995337	5.612745794662004e-14	0.4785103112429769	4.522117733226069e-11	LOC106995337	LOC106995337	X	0.7576038895046568	0.15532938881117656	0.08	0.012987012987012988
HYPM	5.7702153033381e-14	0.0207397937249844	4.522117733226069e-11	HYPM		No-significant				
LOC114669822	6.615785413484956e-14	0.1025213959441377	5.0175397050466063e-11	LOC114669822	LOC114669822	X	0.5277549707913634	0.1117585954907102	0.017241379310344827	0.0
MAP7D3	1.444704483473173e-13	0.1017485264621049	1.0614514722168051e-10	MAP7D3	MAP7D3	X	0.42638664215618255	0.04859620425307272	0.028735632183908046	0.012987012987012988
LOC114674667	1.900719407523989e-13	0.0035438910460685	1.3541761815241363e-10	LOC114674667		No-significant				
NFIC	2.3914382173452653e-13	1.6850509149737402e-05	1.6536795272942503e-10	NFIC		No-significant				
TSC22D3	8.073423167203203e-13	0.1111540019947225	5.423264345260414e-10	TSC22D3	TSC22D3	X	0.5453628778904225	-0.08663211484530942	0.028735632183908046	0.0064516129032258064
MAGT1	1.3405461961523193e-12	0.1229739016966994	8.754883782704772e-10	MAGT1	MAGT1	X	0.33943782111691684	0.08023204111298757	0.04597701149425287	0.025806451612903226
DAZA	1.7521379536135838e-12	-0.9533966204259258	1.113365281821864e-09	DAZA	DAZA	Y	-0.0849487336462818	0.4186167195396356	0.0	0.012903225806451613
IL13RA2	2.0551995683962598e-11	0.2928962284200894	1.2715736066464334e-08	IL13RA2	IL13RA2	X	0.5105486907232822	0.19116238166987115	0.017142857142857144	0.006493506493506494
LOC114676372	2.3565577475975982e-11	-0.0683570130240313	1.4206417744555674e-08	LOC114676372		No-significant				
CYLC1	3.247503751999312e-11	0.1156332436105944	1.9088015178313955e-08	CYLC1	CYLC1	X	0.7405513251564264	0.10897127953880213	0.028735632183908046	0.006493506493506494
IGBP1	4.239610922580892e-11	0.1588770213419174	2.4311583512390088e-08	IGBP1	IGBP1	X	0.17814811551696633	0.03913026616683483	0.022988505747126436	0.006493506493506494
BEND2	5.351416778619517e-11	0.0467224352920715	2.9956466638600833e-08	BEND2		No-significant				
PRM2	7.160223839285623e-11	0.0346158533215552	3.9149772717545184e-08	PRM2		No-significant				
IQSEC2	8.667952630673686e-11	0.0167076374321346	4.631641688631115e-08	IQSEC2		No-significant				
amplicon-chrY-LOC106995413	8.919438633043017e-11	-0.2337212957952368	4.660109371143876e-08	mc/ampl_LOC106995413	mc/ampl_LOC106995413	Y	-0.032252172665575785	0.15610613003986545	0.0	0.006493506493506494
PRM1	1.6280471750530354e-10	-0.0408816971228927	8.321090681015634e-08	PRM1		No-significant				
CCNB3	2.9764975229514566e-10	0.2304573381083028	1.488945388555568e-07	CCNB3	CCNB3	X	0.40357613998990094	-0.07920905758049299	0.028735632183908046	0.006493506493506494
LOC106995406	5.434460451382536e-10	-0.042733471439175	2.661866659842809e-07	LOC106995406		No-significant				
PIGA	6.060228230689901e-10	0.0565836246466657	2.907796447586741e-07	PIGA		No-significant				
LOC100424830	7.009455777604593e-10	0.0231962293068709	3.295986295745232e-07	LOC100424830		No-significant				
GK	1.7663863819080887e-09	0.4088554672619527	8.14304122059629e-07	GK	GK	X	0.7355346626658994	0.08051233157976159	0.04597701149425287	0.012903225806451613
LOC106995422	2.335206173354979e-09	-0.0574238297185309	1.0386568491042716e-06	LOC106995422		No-significant				
DDX53	2.3414067033527453e-09	0.0756946858174865	1.0386568491042716e-06	DDX53		No-significant				
amplicon-chrX-TEX13A/B	2.462989031814739e-09	0.3446803860905543	1.0697275913138582e-06	mc/ampl_TEX13A/B	mc/ampl_TEX13A/B	X	1.1785413220143388	0.5873731174244167	0.022988505747126436	0.006493506493506494
APOOL	2.502446409011194e-09	0.0853778650236442	1.0697275913138582e-06	APOOL		No-significant				
SLC35A2	3.060648245179863e-09	0.2813857315648679	1.2849803730789958e-06	SLC35A2	SLC35A2	X	0.3493746179494501	0.07571169673659292	0.005747126436781609	0.0
