primerid	Pr(>Chisq)	coef	FDR	gene_name	signif	diff_exp	prop_exp_X	prop_exp_Y	prop_exp_raw_X	prop_exp_raw_Y
DIAPH2	4.94139754720204e-265	1.0937036908974014	1.2448368700911379e-260	DIAPH2	DIAPH2	X	0.821107525766995	-0.5052302558751403	0.38011695906432746	0.09554140127388536
DDX3Y	3.06760035300442e-240	-0.4423674961421926	3.8639494046443677e-236	DDX3Y	DDX3Y	Y	-0.05999782844777213	0.7254932320017445	0.011764705882352941	0.05732484076433121
LOC112204056	1.0457082568253412e-222	-0.4061161416187048	8.781160801981334e-219	LOC112204056	LOC112204056	Y	-0.0443596513659653	0.6987680051057661	0.011764705882352941	0.050955414012738856
CFAP47	7.076581760731462e-186	1.3501265096842323	4.456831192908675e-182	CFAP47	CFAP47	X	2.543588337746157	-0.07548694270127634	0.3176470588235294	0.02564102564102564
UPF3B	4.5949443531423756e-176	0.7436055185067637	2.3151167628872544e-172	UPF3B	UPF3B	X	1.059269653603648	-0.15034625472418534	0.1695906432748538	0.03821656050955414
LOC100614699	4.7661032834566895e-151	0.7034087669875948	2.0011278986140156e-147	LOC100614699	LOC100614699	X	1.3138342760925217	-0.03308586322109283	0.13529411764705881	0.01910828025477707
LOC107971311	1.0539505599328374e-147	-0.3444652617076714	3.7930175008325773e-144	LOC107971311	LOC107971311	Y	-0.0030007998274704014	0.988886446014034	0.0	0.019230769230769232
amplicon-chrX-SPANXN5	3.3157899185768797e-140	0.1255209914876932	1.0441422453598592e-136	mc/ampl_SPANXN5	mc/ampl_SPANXN5	X	1.8100893747582842	0.4735074001326839	0.1588235294117647	0.04487179487179487
OFD1	4.130080190275074e-138	0.7145939932662014	1.0593900544051515e-134	OFD1	OFD1	X	0.8756034353735197	-0.17557416309045965	0.12352941176470589	0.01282051282051282
RPGR	4.205263791700347e-138	0.6163697036299547	1.0593900544051515e-134	RPGR	RPGR	X	0.8384800059368943	-0.06567014090224702	0.07602339181286549	0.019230769230769232
amplicon-chrY-CDY1	7.074146063466385e-136	-0.8879291062145642	1.6201080693713194e-132	mc/ampl_CDY1	mc/ampl_CDY1	Y	-0.00488658102358459	1.3406287738444604	0.0058823529411764705	0.03205128205128205
PPEF1	2.8910076952173964e-132	0.5689395857959434	6.069188821493054e-129	PPEF1	PPEF1	X	1.1451029028432689	0.006798842288168274	0.1411764705882353	0.019230769230769232
LOC107971309	3.343431233979109e-132	-0.3424202963811523	6.479055357415518e-129	LOC107971309	LOC107971309	Y	0.05921519808330605	0.9740046733900344	0.005847953216374269	0.01910828025477707
EFHC2	3.866282819212273e-132	0.773940099864738	6.95709977011397e-129	EFHC2	EFHC2	X	1.3346467443333847	-0.0007239128288164787	0.17058823529411765	0.038461538461538464
amplicon-chrX-PABPC1L2A	1.9504957932620853e-128	0.2285582057882377	3.27579266825723e-125	mc/ampl_PABPC1L2A	mc/ampl_PABPC1L2A	X	1.742146410331354	0.09737114757556843	0.08823529411764706	0.01282051282051282
LOC107971288	4.0210365329529476e-126	-0.4901171179996471	6.331122021134417e-123	LOC107971288	LOC107971288	Y	-0.04674507140410067	0.6968436529316094	0.0	0.01282051282051282
LOC101058032	5.627097127352493e-121	0.4032292482632364	8.338695931309648e-118	LOC101058032	LOC101058032	X	0.8649502689208057	-0.021476264519731836	0.06432748538011696	0.00641025641025641
DMD	4.2261319236395934e-119	0.7920687678172945	5.914706412240479e-116	DMD	DMD	X	1.0286072163509588	-0.11605631230029334	0.2807017543859649	0.08333333333333333
PRICKLE3	1.1402799467872316e-118	0.1403555399240947	1.5118911799717859e-115	PRICKLE3	PRICKLE3	X	1.5664526598085982	0.43993717200518206	0.0935672514619883	0.03205128205128205
LOC104005648	4.480236469273036e-115	-0.4072485332909544	5.643305856696315e-112	LOC104005648	LOC104005648	Y	-0.05939430424562445	0.92360157789407	0.0	0.019230769230769232
FHL1	2.354120682186505e-114	0.2133645733609262	2.8240480107448786e-111	FHL1	FHL1	X	1.256765214304025	0.07426924989532789	0.15204678362573099	0.038461538461538464
LOC104005655	1.312264771573627e-111	-0.3345331657216349	1.5026624602492186e-108	LOC104005655	LOC104005655	Y	-0.05492773528049649	0.7431988685833301	0.0	0.01282051282051282
LOC107971289	3.45537064966145e-107	-0.6287192069297356	3.7846824959248367e-104	LOC107971289	LOC107971289	Y	-0.036539197790314004	0.7584149587816919	0.0	0.01282051282051282
HDAC6	6.938432799177003e-107	0.2297211194548777	7.283041628202795e-104	HDAC6	HDAC6	X	0.7886190011560497	0.06777306018932644	0.05847953216374269	0.019230769230769232
amplicon-chrX-LOC112206844	6.161648996279618e-104	0.7603437599797433	6.208970460571045e-101	mc/ampl_LOC112206844	mc/ampl_LOC112206844	X	0.910891685423428	-0.009029651396350702	0.3352941176470588	0.16025641025641027
LOC107971124	6.080022850935144e-102	0.7785859606510606	5.8910744484906966e-99	LOC107971124	LOC107971124	X	1.3409869538388322	-0.0695419181722944	0.12280701754385964	0.03205128205128205
