primerid	Pr(>Chisq)	coef	FDR	gene_name	signif	diff_exp	prop_exp_X	prop_exp_Y	prop_exp_raw_X	prop_exp_raw_Y
amplicon-chrX-LOC112206877	5.912831616259685e-73	0.9261154030738148	1.3426858034202491e-68	mc/ampl_LOC112206877	mc/ampl_LOC112206877	X	2.2663923491300118	0.013810908292572305	0.3374233128834356	0.043478260869565216
LOC107971253	1.4598259269566166e-68	0.5700525149445251	1.6574863574665423e-64	LOC107971253	LOC107971253	X	1.542763354646213	0.026120739913819947	0.05521472392638037	0.007246376811594203
LOC104005648	8.186231983739576e-62	-0.378833457519377	6.1964318628919434e-58	LOC104005648	LOC104005648	Y	-0.09741403304236088	0.4932572094964633	0.0	0.007246376811594203
LOC104005655	3.505932440158836e-59	-0.3783601347590341	1.9903178462781707e-55	LOC104005655	LOC104005655	Y	-0.07618068948293963	0.4744018009953356	0.0	0.007246376811594203
LOC112204056	9.757034024456233e-57	-0.5086433584229025	4.431254572547043e-53	LOC112204056	LOC112204056	Y	-0.11027069447307701	0.7952198087397768	0.018404907975460124	0.07971014492753623
DDX3Y	2.5713067063978517e-55	-0.4671464905112804	9.731538781480402e-52	DDX3Y	DDX3Y	Y	-0.07957617638559195	0.6860517519883137	0.018404907975460124	0.057971014492753624
LOC104005625	2.4770908413326527e-53	-0.2990987562757427	8.035682689283125e-50	LOC104005625	LOC104005625	No-significant	-0.07445201179234344	0.5347762504103303	0.0	0.0
LOC107972547	2.505596980189438e-52	-0.292277502835465	7.11213702826772e-49	LOC107972547	LOC107972547	No-significant	-0.0729131470250051	0.5406169097894805	0.0	0.0
LOC104005499	1.2113241370190317e-50	-0.2994561476673532	3.056305389269796e-47	LOC104005499	LOC104005499	No-significant	-0.07129848797430521	0.5646772804839024	0.0	0.0
UPF3B	4.722215865465673e-46	0.4121617120544055	1.0723207787299449e-42	UPF3B	UPF3B	X	0.594173827724234	-0.15557640128883057	0.1411042944785276	0.028985507246376812
OFD1	3.8053386826176456e-45	0.8691185841191643	7.855602800443774e-42	OFD1	OFD1	X	0.7724726343005658	-0.27630029523347766	0.147239263803681	0.007246376811594203
amplicon-chrY-CDY1	1.749664766713071e-39	-0.757126887186228	3.310948960210034e-36	mc/ampl_CDY1	mc/ampl_CDY1	Y	-0.055847430002990826	1.1551637390064886	0.0	0.021739130434782608
LOC104005498	3.130312736898744e-38	-0.1980518811870101	5.467933971499745e-35	LOC104005498	LOC104005498	No-significant	-0.07131189278873899	0.3012817053136785	0.0	0.0
LOC112208158	1.0074677427570308e-37	-0.1713900320168151	1.634112678751904e-34	LOC112208158	LOC112208158	No-significant	-0.03315623295831993	0.261137332520638	0.0	0.0
LOC104005509	9.468610161263955e-37	-0.2098773079738768	1.4334213302798793e-33	LOC104005509	LOC104005509	No-significant	-0.0421067324419057	0.28978896946799526	0.0	0.0
LOC100608700	4.96028241575508e-32	-0.5031002024259273	7.039880818560398e-29	LOC100608700	LOC100608700	Y	-0.09409422212751685	0.9234303087513251	0.0	0.007194244604316547
LOC107971224	2.561165386843613e-31	0.1628261202222343	3.4211143296732212e-28	LOC107971224	LOC107971224	X	1.2618817144828802	0.17194420545535663	0.09202453987730061	0.021739130434782608
LOC112208159	9.606234677734696e-28	-0.1667839822920137	1.2118798725666641e-24	LOC112208159	LOC112208159	No-significant	-0.03875161705364369	0.30784801556695884	0.0	0.0
amplicon-chrX-PABPC1L2A	2.9837925157599503e-27	0.0126961282715747	3.566103181467208e-24	mc/ampl_PABPC1L2A		No-significant				
DIAPH2	7.361517343053265e-27	0.4474407455531055	8.358266791302678e-24	DIAPH2	DIAPH2	X	0.5366317409467581	-0.09146045195235639	0.2331288343558282	0.11594202898550725
LOC104005508	2.3736267493710558e-26	-0.1550261521005893	2.566681724986568e-23	LOC104005508	LOC104005508	No-significant	-0.03734039438892986	0.24634346435672919	0.0	0.0
NUP62CL	1.7898998383560338e-25	0.8702544163513093	1.8475020695176736e-22	NUP62CL	NUP62CL	X	0.8486882848504197	-0.07351700354469594	0.049079754601226995	0.007246376811594203
amplicon-chrX-LOC465705	1.0350394085134648e-24	0.6211039379330469	1.0218989081966853e-21	mc/ampl_LOC465705	mc/ampl_LOC465705	X	0.9873410682223865	0.006624967474757359	0.15337423312883436	0.043478260869565216
LOC104005654	1.2889242514226025e-23	-0.1663701869472515	1.2195371625543524e-20	LOC104005654	LOC104005654	No-significant	-0.04130792927054496	0.23072706391428296	0.0	0.0
CFAP47	1.881769646523284e-23	0.8631858145183332	1.709249005330029e-20	CFAP47	CFAP47	X	1.436880098175859	0.01412764044419997	0.12269938650306748	0.007246376811594203
LOC104005649	5.0058796698943385e-23	-0.1557143689621028	4.372058290152332e-20	LOC104005649	LOC104005649	No-significant	-0.039805137769476584	0.21075331875373282	0.0	0.0
GPM6B	7.936515557921874e-22	0.6802788317424715	6.6749035292329615e-19	GPM6B	GPM6B	X	0.41927001902760386	-0.17734746651001956	0.04294478527607362	0.007194244604316547
amplicon-chrX-LOC101057489	3.6186049968657525e-21	0.0663800170827718	2.9346886524581264e-18	mc/ampl_LOC101057489		No-significant				
amplicon-chrX-SPANX	2.600528666078359e-20	0.3635314363866082	2.0363036189416337e-17	mc/ampl_SPANX	mc/ampl_SPANX	X	1.0367281792987046	0.3035572469730625	0.2331288343558282	0.10869565217391304
SCML1	1.9483394994421465e-18	0.6841030194412425	1.474763111777742e-15	SCML1	SCML1	X	0.16150345584242962	-0.36726627572200915	0.049079754601226995	0.007246376811594203
EFHC2	4.0869157628051744e-18	0.6184183464976788	2.9057661076972592e-15	EFHC2	EFHC2	X	0.9323061299081279	0.10470839860905853	0.06134969325153374	0.014388489208633094
LOC107971124	4.094791062458706e-18	0.2745773833541949	2.9057661076972592e-15	LOC107971124	LOC107971124	X	0.7560717758895186	-0.07909309333814592	0.03067484662576687	0.014388489208633094
HYPM	1.8126739934433536e-17	0.1239492316728365	1.2473394255488388e-14	HYPM	HYPM	X	0.49840178796149476	0.055995290790626796	0.018404907975460124	0.0
GK	2.222990009895151e-17	0.6409172271817596	1.4846957983735026e-14	GK	GK	X	0.8047323305715121	-0.046656102663439954	0.05521472392638037	0.007246376811594203
RPGR	6.9877305342934e-16	0.3113043729717614	4.5336395706495583e-13	RPGR	RPGR	X	0.5284821886309751	-0.06108088555703402	0.03680981595092025	0.007246376811594203
MAP7D3	8.325352296241512e-16	0.4603436575615732	5.25144722064034e-13	MAP7D3	MAP7D3	X	0.7558221093637089	-0.031964518798539523	0.03067484662576687	0.007246376811594203
amplicon-chrY-LOC742075	1.7473213535535489e-15	-0.4025822771037316	1.0723830620674052e-12	mc/ampl_LOC742075	mc/ampl_LOC742075	Y	-0.055508596362540706	0.5005919423648657	0.0	0.014492753623188406
CUL4B	2.5393204974919894e-15	0.2249977357688306	1.5174444699223185e-12	CUL4B	CUL4B	X	0.4033340315345202	-0.06290679599794836	0.024539877300613498	0.007246376811594203
SYTL5	1.1707331630641076e-14	0.1889651753732857	6.816668888938399e-12	SYTL5	SYTL5	X	0.4782375737321809	0.017036219979744346	0.024539877300613498	0.007246376811594203
LOC100614699	1.6464864523931413e-14	0.308943333975524	9.347103590235862e-12	LOC100614699	LOC100614699	X	0.4719469303161303	-0.07562908862169518	0.024539877300613498	0.0
PRICKLE3	2.2439113048857373e-14	0.0035354724133169	1.2427984856425689e-11	PRICKLE3		No-significant				
LOC473574	3.27614811690627e-14	0.2618210311250764	1.77130408187399e-11	LOC473574	LOC473574	X	0.8523733917505307	0.1695228642106735	0.0736196319018405	0.014492753623188406
ARSH	7.80240712811879e-14	0.3488446179291292	4.120396768960964e-11	ARSH	ARSH	X	1.4718379563740922	0.20515316454043284	0.22699386503067484	0.036231884057971016
